Categoría,Roles Profesionales
Software Engineering,"Backend Developer, Frontend Developer, Full-Stack Developer, Software Architect, Tech Lead, Engineering Manager, Mobile Developer, DevOps Engineer, Infrastructure Engineer, SRE (Site Reliability Engineer), SysAdmin, DBA, QA Engineer, Test Automation Engineer, Security Engineer, MLOps Specialist, Developer Advocate, API Developer, Cloud Engineer, Game Developer"
Data,"Data Analyst, Business Intelligence Specialist, Data Engineer, Data Scientist, Machine Learning Engineer, AI Researcher, Data Visualization Specialist, Big Data Engineer, Data Architect, NLP Engineer"
Producto,"Product Manager, Product Owner, Project Manager, Delivery Manager, Product Analyst, Lead Product Manager, VP of Product, Technical Product Manager, Growth Product Manager, Innovation Manager"
Diseño,"Brand Designer, Graphic Designer, Motion Designer, Layout Designer, UI/UX Designer, UX Writer, UX Researcher, Interaction Designer, Visual Designer, 3D Artist, Service Designer, Lead Designer"
Marketing,"Brand Marketing Specialist, Creative Marketing Specialist, Content Marketer, Content Strategist, Copywriter, Marketing Generalist, Growth Manager, Performance Marketer, PR Specialist, Social Media Manager, Community Manager"
Sales,"Sales Development Representative, Account Executive, Enterprise Account Executive, Sales Manager, Sales Operations Specialist, Customer Success Manager, Solution Engineer, Sales Engineer, Channel Sales Manager, Regional Sales Director, Chief Revenue Officer"
Legal,"Legal Counsel, Compliance Officer, Legal Manager, Contract Manager, IP Specialist, Data Privacy Officer, General Counsel"
Operaciones,"Operations Manager, Business Operations Manager, Strategy Consultant, Customer Service Specialist, Support Specialist, Operations Analyst"
Finanzas,"Financial Analyst, Accountant, Controller, Finance Manager, CFO, Investment Analyst, Tax Specialist, Auditor"
Recursos Humanos,"HR Generalist, Talent Acquisition Specialist, HR Business Partner, Learning & Development Specialist, Compensation & Benefits Specialist, People Operations Manager, HR Manager, Recruitment Specialist, Onboarding Specialist, Organizational Development Specialist"
Administración,"Administrative Assistant, Office Manager, Executive Assistant, Facilities Manager, Administrative Coordinator, Virtual Assistant, Front Desk Coordinator, Administrative Director"

Categoría,Nivel Profesional,Años de Experiencia,Habilidades Esperadas
# Marketing - Growth Manager
Marketing,Growth Marketing Trainee,0-1,"Fundamentos de growth marketing, herramientas básicas de adquisición, conceptos de conversión, análisis básico de embudos"
Marketing,Growth Marketing Junior,0-2,"Implementación de tácticas de growth, optimización básica de conversión, A/B testing simple, análisis de KPIs de crecimiento"
Marketing,Growth Marketing Mid-level,2-4,"Estrategias de crecimiento multicanal, optimización de embudos, experimentación avanzada, growth loops básicos, user acquisition"
Marketing,Growth Marketing Senior,4-7,"Desarrollo de estrategias de growth, modelos de adquisición/activación/retención, mentorización, modelado de LTV, frameworks"
Marketing,Growth Marketing Tech Lead,7-10,"Liderazgo de equipos de growth, definición de NSM, estrategias de growth accounting, experimentación a escala, optimización CAC"
Marketing,Growth Marketing Architect,8-12,"Diseño de arquitecturas de growth, estrategias corporativas de crecimiento, frameworks multi-producto, investigación avanzada"
Marketing,Principal Growth Manager,10-15,"Liderazgo de prácticas de growth, innovación en modelos de crecimiento, estrategia corporativa, consultoría interna"
Marketing,Growth Director,12-18,"Dirección de growth organizacional, estrategia global de crecimiento, transformación de negocio, gestión de growth teams"
Marketing,VP of Growth,15+,"Liderazgo ejecutivo de growth, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Marketing - Performance Marketer
Marketing,Performance Marketing Trainee,0-1,"Fundamentos de marketing de performance, herramientas básicas, principios de publicidad digital, análisis elemental de métricas"
Marketing,Performance Marketing Junior,0-2,"Implementación de campañas digital básicas, configuración de ads, análisis simple de resultados, ajustes básicos de audiencias"
Marketing,Performance Marketing Mid-level,2-4,"Gestión de campañas multicanal, estrategias de optimización, análisis de ROAS/CPA, bid management, testing, remarketing"
Marketing,Performance Marketing Senior,4-7,"Desarrollo de estrategias de performance, optimización presupuestaria, análisis avanzado, atribución, mentorización, automatización"
Marketing,Performance Marketing Tech Lead,7-10,"Liderazgo de equipos de performance, definición de estrategias multicanal, optimización avanzada de inversión, forecasting"
Marketing,Performance Marketing Architect,8-12,"Diseño de arquitecturas de performance, estrategias integradas, frameworks de optimización, modelos de atribución avanzados"
Marketing,Principal Performance Marketer,10-15,"Liderazgo de prácticas de performance, innovación en modelos, estrategia corporativa, consultoría interna, mentorización"
Marketing,Performance Marketing Director,12-18,"Dirección de performance organizacional, estrategia global de inversión digital, transformación de resultados, gestión"
Marketing,VP of Performance Marketing,15+,"Liderazgo ejecutivo de performance, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Marketing - PR Specialist
Marketing,PR Trainee,0-1,"Fundamentos de relaciones públicas, herramientas básicas, principios de comunicación corporativa, monitoreo básico de medios"
Marketing,PR Junior,0-2,"Redacción de comunicados simples, relaciones básicas con medios, organización de eventos simples, monitoring, clipping básico"
Marketing,PR Mid-level,2-4,"Desarrollo de estrategias de PR para proyectos, relaciones con medios, gestión de comunicados, crisis management básico, eventos"
Marketing,PR Senior,4-7,"Estrategia de relaciones públicas, manejo de crisis, relaciones con stakeholders, mentorización, comunicación corporativa"
Marketing,PR Tech Lead,7-10,"Liderazgo de equipos de PR, definición de estrategias de comunicación, gestión de crisis complejas, relaciones institucionales"
Marketing,PR Architect,8-12,"Diseño de arquitecturas de comunicación, estrategias corporativas, frameworks de crisis management, investigación avanzada"
Marketing,Principal PR Specialist,10-15,"Liderazgo de prácticas de PR, innovación en comunicación corporativa, estrategia corporativa, consultoría interna"
Marketing,PR Director,12-18,"Dirección de PR organizacional, estrategia global de comunicación, transformación de reputación, gestión de equipos"
Marketing,VP of Corporate Communications,15+,"Liderazgo ejecutivo de comunicación, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Marketing - Social Media Manager
Marketing,Social Media Trainee,0-1,"Fundamentos de social media, plataformas básicas, creación de contenido simple, programación básica, monitoring elemental"
Marketing,Social Media Junior,0-2,"Gestión diaria de redes sociales, creación de contenido, calendarios editoriales, interacción con usuarios, reporting básico"
Marketing,Social Media Mid-level,2-4,"Estrategia de redes sociales, contenido avanzado, paid social básico, gestión de crisis, analytics, influencer marketing"
Marketing,Social Media Senior,4-7,"Desarrollo de estrategias multicanal, paid social avanzado, mentorización, medición de ROI, estrategias de engagement"
Marketing,Social Media Tech Lead,7-10,"Liderazgo de equipos de social media, definición de estrategias integradas, gestión de crisis complejas, innovación en formatos"
Marketing,Social Media Architect,8-12,"Diseño de arquitecturas de social media, estrategias corporativas, frameworks de governance, modelos de evaluación de impacto"
Marketing,Principal Social Media Manager,10-15,"Liderazgo de prácticas de social, innovación en estrategias, consultoría interna, mentorización de equipos"
Marketing,Social Media Director,12-18,"Dirección de social media organizacional, estrategia global de presencia digital, transformación social, gestión de equipos"
Marketing,VP of Social Media,15+,"Liderazgo ejecutivo de social media, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Marketing - Community Manager
Marketing,Community Management Trainee,0-1,"Fundamentos de community management, herramientas básicas, interacción elemental, moderación básica, reportes simples"
Marketing,Community Management Junior,0-2,"Gestión diaria de comunidades, interacción con usuarios, moderación, resolución de conflictos básicos, creación de contenido"
Marketing,Community Management Mid-level,2-4,"Estrategia de comunidad, contenido especializado, manejo de crisis, activaciones, eventos virtuales, programas de embajadores"
Marketing,Community Management Senior,4-7,"Desarrollo de estrategias de comunidad, programas de engagement, mentorización, medición de impacto, estrategias de crecimiento"
Marketing,Community Management Tech Lead,7-10,"Liderazgo de equipos de community, definición de estrategias de comunidad, gestión de crisis complejas, programas de fidelización"
Marketing,Community Management Architect,8-12,"Diseño de arquitecturas de comunidad, estrategias corporativas, frameworks de engagement, investigación avanzada de audiencias"
Marketing,Principal Community Manager,10-15,"Liderazgo de prácticas de community, innovación en estrategias, consultoría interna, mentorización, modelos de desarrollo"
Marketing,Community Director,12-18,"Dirección de comunidad organizacional, estrategia global de comunidad, transformación organizacional, gestión de equipos"
Marketing,VP of Community,15+,"Liderazgo ejecutivo de comunidad, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Legal - Legal Counsel
Legal,Legal Counsel Trainee,0-1,"Fundamentos jurídicos, investigación legal básica, redacción jurídica elemental, conocimiento de leyes fundamentales, procedimientos básicos"
Legal,Legal Counsel Junior,0-2,"Investigación jurídica, redacción de documentos sencillos, apoyo en contratos básicos, seguimiento de casos, apoyo a abogados senior"
Legal,Legal Counsel Mid-level,2-4,"Gestión de contratos, asesoría legal en áreas específicas, compliance básico, litigios simples, investigación jurídica avanzada"
Legal,Legal Counsel Senior,4-7,"Asesoramiento legal complejo, negociación de contratos importantes, gestión de litigios, asesoramiento a directivos, due diligence"
Legal,Legal Counsel Tech Lead,7-10,"Liderazgo de equipos legales, definición de protocolos, gestión de asuntos legales corporativos, asesoramiento a ejecutivos"
Legal,Legal Counsel Architect,8-12,"Diseño de estrategias legales complejas, gestión de riesgos legal, compliance avanzado, protección de activos empresariales"
Legal,Principal Legal Counsel,10-15,"Liderazgo de prácticas legales, innovación jurídica, estrategia corporativa, consultoría interna, mentorización de equipos"
Legal,Legal Director,12-18,"Dirección de departamentos legales, estrategia legal global, innovación en procesos, gestión de managers, planificación a largo plazo"
Legal,General Counsel/VP Legal,15+,"Liderazgo ejecutivo legal, estrategia legal a nivel de empresa, gestión presupuestaria global, desarrollo organizacional, alianzas"

# Legal - Compliance Officer
Legal,Compliance Officer Trainee,0-1,"Fundamentos de compliance, normativa básica, herramientas elementales de control, apoyo en procesos de cumplimiento, documentación básica"
Legal,Compliance Officer Junior,0-2,"Implementación de políticas de compliance, monitoreo básico de cumplimiento, educación básica a empleados, apoyo en auditorías"
Legal,Compliance Officer Mid-level,2-4,"Gestión de programas de compliance, evaluación de riesgos intermedios, desarrollo de políticas, investigaciones internas básicas"
Legal,Compliance Officer Senior,4-7,"Desarrollo de programas de compliance complejos, análisis de riesgos avanzado, gestión de investigaciones, mentorización, reportes"
Legal,Compliance Officer Tech Lead,7-10,"Liderazgo de equipos de compliance, definición de frameworks de cumplimiento, estrategias de control, relación con reguladores"
Legal,Compliance Officer Architect,8-12,"Diseño de arquitecturas de compliance, estrategias corporativas, frameworks de riesgos, implementación de sistemas avanzados"
Legal,Principal Compliance Officer,10-15,"Liderazgo de prácticas de compliance, innovación en metodologías, consultoría interna, mentorización, estrategia regulatoria"
Legal,Compliance Director,12-18,"Dirección de compliance organizacional, estrategia global de cumplimiento, transformación de procesos, gestión de crisis regulatorias"
Legal,Chief Compliance Officer,15+,"Liderazgo ejecutivo de compliance, visión estratégica global, desarrollo de cultura ética, estrategia corporativa, gestión de riesgos"

# Legal - Contract Manager
Legal,Contract Manager Trainee,0-1,"Fundamentos de gestión contractual, plantillas básicas, procesos elementales, bases de contratos, apoyo documental"
Legal,Contract Manager Junior,0-2,"Redacción de contratos básicos, revisión de términos simples, seguimiento de vencimientos, gestión documental, apoyo en negociaciones"
Legal,Contract Manager Mid-level,2-4,"Negociación de contratos de complejidad media, gestión de repositorios, análisis de cláusulas, implementación de workflows"
Legal,Contract Manager Senior,4-7,"Gestión avanzada de contratos complejos, análisis de riesgo contractual, optimización de procesos, mentorización, negociaciones"
Legal,Contract Manager Tech Lead,7-10,"Liderazgo de equipos de contratos, definición de frameworks contractuales, estandarización de procesos, gestión de riesgo"
Legal,Contract Manager Architect,8-12,"Diseño de arquitecturas contractuales, estrategias corporativas, frameworks legales, metodologías de gestión avanzada"
Legal,Principal Contract Manager,10-15,"Liderazgo de prácticas contractuales, innovación en gestión, estrategia corporativa, consultoría interna, mentorización"
Legal,Contract Management Director,12-18,"Dirección de gestión contractual, estrategia global, transformación de procesos, optimización de gestión, alineación con negocio"
Legal,VP of Contract Management,15+,"Liderazgo ejecutivo de contratos, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Legal - IP Specialist
Legal,IP Specialist Trainee,0-1,"Fundamentos de propiedad intelectual, herramientas básicas, procedimientos elementales, bases de patentes y marcas"
Legal,IP Specialist Junior,0-2,"Gestión básica de registros, búsquedas de anterioridad simples, apoyo en solicitudes, documentación de PI, monitoreo básico"
Legal,IP Specialist Mid-level,2-4,"Gestión de carteras de PI media complejidad, solicitudes nacionales, estrategias de protección básicas, análisis de riesgos"
Legal,IP Specialist Senior,4-7,"Desarrollo de estrategias de PI complejas, gestión internacional, valoración de activos intangibles, mentorización, litigios"
Legal,IP Specialist Tech Lead,7-10,"Liderazgo de equipos de PI, definición de estrategias de protección, portfolios complejos, gestión de litigios relevantes"
Legal,IP Specialist Architect,8-12,"Diseño de arquitecturas de protección de PI, estrategias corporativas, frameworks de valoración, planificación global"
Legal,Principal IP Specialist,10-15,"Liderazgo de prácticas de PI, innovación en protección, estrategia corporativa, consultoría interna, mentorización de equipos"
Legal,IP Director,12-18,"Dirección de PI organizacional, estrategia global, valoración de portfolios, transformación de procesos, alineación con I+D"
Legal,Chief IP Officer,15+,"Liderazgo ejecutivo de PI, visión estratégica global, desarrollo de activos intangibles, estrategia corporativa, transformación"

# Legal - Data Privacy Officer
Legal,Data Privacy Officer Trainee,0-1,"Fundamentos de protección de datos, normativa básica, procedimientos elementales, documentación básica, conceptos de privacidad"
Legal,Data Privacy Officer Junior,0-2,"Implementación de políticas básicas, análisis simple de riesgos, documentación de procesos, apoyo en evaluaciones de impacto"
Legal,Data Privacy Officer Mid-level,2-4,"Gestión de programas de privacidad, evaluaciones de impacto, desarrollo de políticas, investigación de incidentes básicos"
Legal,Data Privacy Officer Senior,4-7,"Desarrollo de frameworks de privacidad, gestión de programas complejos, análisis avanzado de riesgos, mentorización, crisis"
Legal,Data Privacy Officer Tech Lead,7-10,"Liderazgo de equipos de privacidad, estrategias de implementación multinacional, relación con autoridades, governance"
Legal,Data Privacy Officer Architect,8-12,"Diseño de arquitecturas de privacidad, estrategias corporativas, frameworks de cumplimiento global, metodologías avanzadas"
Legal,Principal Data Privacy Officer,10-15,"Liderazgo de prácticas de privacidad, innovación en protección de datos, estrategia corporativa, consultoría interna"
Legal,Data Privacy Director,12-18,"Dirección de privacidad organizacional, estrategia global, transformación de procesos, gestión de crisis de privacidad"
Legal,Chief Privacy Officer,15+,"Liderazgo ejecutivo de privacidad, visión estratégica global, desarrollo organizacional, estrategia corporativa, transformación"

# Legal - Legal Manager
Legal,Legal Manager Trainee,0-1,"Fundamentos de gestión legal, herramientas básicas, procesos elementales, conceptos de organización jurídica, comunicación"
Legal,Legal Manager Junior,0-2,"Gestión básica de procesos legales, coordinación simple de equipos, seguimiento de casos, reportes básicos, administración"
Legal,Legal Manager Mid-level,2-4,"Gestión de equipos legales pequeños, optimización de procesos internos, coordinación con externos, presupuestos básicos"
Legal,Legal Manager Senior,4-7,"Gestión de departamentos legales, optimización de recursos, análisis de eficiencia, mentorización, estrategias departamentales"
Legal,Legal Manager Tech Lead,7-10,"Liderazgo de equipos multidisciplinares, definición de procesos optimizados, gestión de recursos avanzada, presupuestos"
Legal,Legal Manager Architect,8-12,"Diseño de estructuras legales corporativas, estrategias operativas, frameworks de eficiencia, metodologías avanzadas"
Legal,Principal Legal Manager,10-15,"Liderazgo de prácticas de gestión legal, innovación en operaciones, estrategia corporativa, consultoría interna, mentorización"
Legal,Legal Operations Director,12-18,"Dirección de operaciones legales, estrategia global, transformación de departamentos, optimización avanzada, alineación"
Legal,VP Legal Operations,15+,"Liderazgo ejecutivo de operaciones legales, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Operaciones - Operations Manager
Operaciones,Operations Manager Trainee,0-1,"Fundamentos de operaciones, herramientas básicas, procesos elementales, análisis básico de datos, comunicación organizacional"
Operaciones,Operations Manager Junior,0-2,"Apoyo en procesos operativos, análisis básico de datos, documentación de procedimientos, mejoras simples, seguimiento de KPIs"
Operaciones,Operations Manager Mid-level,2-4,"Gestión de procesos, análisis de eficiencia, implementación de mejoras, reporting avanzado, automatización básica"
Operaciones,Operations Manager Senior,4-7,"Optimización de procesos complejos, análisis avanzado de datos operativos, liderazgo de proyectos, mentorización"
Operaciones,Operations Manager Tech Lead,7-10,"Liderazgo de equipos operativos, definición de procesos estratégicos, gestión de proyectos complejos, mejora continua"
Operaciones,Operations Manager Architect,8-12,"Diseño de estrategias operativas complejas, transformación de procesos, escalabilidad operativa, eficiencia organizacional"
Operaciones,Principal Operations Manager,10-15,"Gestión de múltiples áreas operativas, planificación estratégica, optimización global, innovación operacional"
Operaciones,Operations Director,12-18,"Dirección de departamentos operativos, estrategia operacional global, innovación, gestión de managers, planificación"
Operaciones,VP of Operations/COO,15+,"Liderazgo ejecutivo operacional, estrategia a nivel de empresa, gestión global, desarrollo organizacional, alianzas"

# Operaciones - Business Operations Manager
Operaciones,Business Operations Manager Trainee,0-1,"Fundamentos de operaciones de negocio, procesos básicos, anaílisis elemental, comunicación entre departamentos"
Operaciones,Business Operations Manager Junior,0-2,"Apoyo en procesos operativos de negocio, análisis básico, reportes simples, coordinación entre equipos, mejoras básicas"
Operaciones,Business Operations Manager Mid-level,2-4,"Gestión de procesos de negocio, análisis de rendimiento, optimización básica, coordinación cross-departamental"
Operaciones,Business Operations Manager Senior,4-7,"Optimización de procesos de negocio complejos, alineación con estrategia, proyectos transversales, mentorización"
Operaciones,Business Operations Manager Tech Lead,7-10,"Liderazgo de equipos de operaciones de negocio, definición de frameworks operativos, integración entre departamentos"
Operaciones,Business Operations Manager Architect,8-12,"Diseño de arquitecturas operativas de negocio, estrategias corporativas, frameworks de eficiencia, alineación global"
Operaciones,Principal Business Operations Manager,10-15,"Liderazgo de operaciones de negocio estratégicas, innovación en procesos, estrategia corporativa, mentorización"
Operaciones,Business Operations Director,12-18,"Dirección de operaciones de negocio, estrategia global, transformación organizacional, alineación con dirección"
Operaciones,VP of Business Operations,15+,"Liderazgo ejecutivo de operaciones de negocio, visión estratégica global, transformación corporativa, estrategia"

# Operaciones - Strategy Consultant
Operaciones,Strategy Consultant Trainee,0-1,"Fundamentos de estrategia empresarial, herramientas básicas de análisis, investigación elemental, apoyo en reportes"
Operaciones,Strategy Consultant Junior,0-2,"Análisis estratégico básico, investigación de mercado, documentación de hallazgos, apoyo en presentaciones, modelos simples"
Operaciones,Strategy Consultant Mid-level,2-4,"Desarrollo de estrategias de complejidad media, frameworks de análisis, modelos de negocio, investigación avanzada"
Operaciones,Strategy Consultant Senior,4-7,"Diseño de estrategias complejas, análisis de escenarios, modelado avanzado, facilitación de talleres, mentorización"
Operaciones,Strategy Consultant Tech Lead,7-10,"Liderazgo de proyectos estratégicos, definición de metodologías, estrategias de transformación, asesoramiento ejecutivo"
Operaciones,Strategy Consultant Architect,8-12,"Diseño de arquitecturas estratégicas corporativas, frameworks de transformación, estrategias disruptivas, visión global"
Operaciones,Principal Strategy Consultant,10-15,"Liderazgo de prácticas estratégicas, innovación en metodologías, estrategia corporativa, consultoría ejecutiva"
Operaciones,Strategy Director,12-18,"Dirección estratégica organizacional, visión global, transformación de modelos de negocio, liderazgo de cambio"
Operaciones,Chief Strategy Officer,15+,"Liderazgo ejecutivo de estrategia, visión estratégica corporativa, desarrollo organizacional, innovación disruptiva"

# Operaciones - Customer Service Specialist
Operaciones,Customer Service Specialist Trainee,0-1,"Fundamentos de atención al cliente, herramientas básicas, procesos elementales, comunicación básica, empatía"
Operaciones,Customer Service Specialist Junior,0-2,"Atención de casos básicos, gestoría de incidencias simples, comunicación efectiva, seguimiento de protocolos básicos"
Operaciones,Customer Service Specialist Mid-level,2-4,"Resolución de casos complejos, gestión de escalaciones, comunicación avanzada, mejora de protocolos, análisis básico"
Operaciones,Customer Service Specialist Senior,4-7,"Gestión de crisis de servicio, análisis avanzado de satisfacción, optimización de procesos, mentorización, estrategias"
Operaciones,Customer Service Specialist Tech Lead,7-10,"Liderazgo de equipos de atención, definición de protocolos avanzados, estrategias de fidelización, gestión de experiencia"
Operaciones,Customer Service Specialist Architect,8-12,"Diseño de arquitecturas de servicio, estrategias corporativas, frameworks de experiencia cliente, metodologías avanzadas"
Operaciones,Principal Customer Service Specialist,10-15,"Liderazgo de prácticas de atención, innovación en servicio, estrategia corporativa de experiencia, transformación"
Operaciones,Customer Service Director,12-18,"Dirección de servicio al cliente, estrategia global, transformación de experiencia, optimización multicanal, indicadores"
Operaciones,VP of Customer Service,15+,"Liderazgo ejecutivo de servicio, visión estratégica global, desarrollo organizacional, innovación en experiencia"

# Operaciones - Support Specialist
Operaciones,Support Specialist Trainee,0-1,"Fundamentos de soporte técnico, herramientas básicas, procesos elementales, documentación básica, comunicación"
Operaciones,Support Specialist Junior,0-2,"Resolución de incidencias básicas, investigación simple de problemas, documentación, seguimiento de protocolos, tickets"
Operaciones,Support Specialist Mid-level,2-4,"Resolución de problemas complejos, análisis de causa raíz básico, mejora de procedimientos, reportes de tendencias"
Operaciones,Support Specialist Senior,4-7,"Gestión avanzada de incidencias críticas, análisis profundo, optimización de procesos, mentorización, mejora continua"
Operaciones,Support Specialist Tech Lead,7-10,"Liderazgo de equipos de soporte, definición de frameworks de resolución, estrategias preventivas, gestión del conocimiento"
Operaciones,Support Specialist Architect,8-12,"Diseño de arquitecturas de soporte, estrategias corporativas, sistemas avanzados de resolución, metodologías escalables"
Operaciones,Principal Support Specialist,10-15,"Liderazgo de prácticas de soporte, innovación en metodologías, estrategia de soporte corporativo, transformación"
Operaciones,Support Director,12-18,"Dirección de soporte organizacional, estrategia global, transformación de departamentos, alineación con negocio"
Operaciones,VP of Support,15+,"Liderazgo ejecutivo de soporte, visión estratégica global, transformación organizacional, estrategia corporativa"

# Operaciones - Operations Analyst
Operaciones,Operations Analyst Trainee,0-1,"Fundamentos de análisis operativo, herramientas básicas de datos, procesos elementales, reportes básicos, documentación"
Operaciones,Operations Analyst Junior,0-2,"Análisis operativo básico, reportes simples, seguimiento de métricas, documentación de procesos, identificación de mejoras"
Operaciones,Operations Analyst Mid-level,2-4,"Análisis de eficiencia operativa, dashboards avanzados, identificación de cuellos de botella, optimización básica"
Operaciones,Operations Analyst Senior,4-7,"Análisis operativo complejo, modelado de procesos, optimización avanzada, mentorización, proyectos de mejora continua"
Operaciones,Operations Analyst Tech Lead,7-10,"Liderazgo de equipos de análisis, definición de frameworks analíticos, estrategias de análisis predictivo, KPIs avanzados"
Operaciones,Operations Analyst Architect,8-12,"Diseño de arquitecturas analíticas operativas, estrategias corporativas, frameworks de optimización, metodologías avanzadas"
Operaciones,Principal Operations Analyst,10-15,"Liderazgo de prácticas de análisis operacional, innovación en metodologías, estrategia corporativa, transformación"
Operaciones,Operations Analytics Director,12-18,"Dirección de análisis operacional, estrategia global, transformación de procesos, alineación con dirección ejecutiva"
Operaciones,VP of Operations Analytics,15+,"Liderazgo ejecutivo analítico, visión estratégica global, desarrollo organizacional basado en datos, transformación"

# Finanzas - Financial Analyst
Finanzas,Financial Analyst Trainee,0-1,"Fundamentos de análisis financiero, Excel básico, reporting elemental, cálculos simples, conceptos financieros básicos"
Finanzas,Financial Analyst Junior,0-2,"Análisis financiero básico, reporting periódico, modelos simples, análisis de desviaciones, presupuestos básicos"
Finanzas,Financial Analyst Mid-level,2-4,"Modelado financiero intermedio, análisis completos, forecasting, planificación financiera, business partnering básico"
Finanzas,Financial Analyst Senior,4-7,"Modelado financiero avanzado, análisis estratégico, valoración, planificación compleja, mentorización, optimización"
Finanzas,Financial Analyst Tech Lead,7-10,"Liderazgo de equipos analíticos, definición de metodologías, análisis estratégico, impacto en negocio, proyectos complejos"
Finanzas,Financial Analyst Architect,8-12,"Diseño de sistemas analíticos financieros, estrategias corporativas, frameworks de análisis, modelado avanízado"
Finanzas,Principal Financial Analyst,10-15,"Liderazgo de prácticas analíticas, innovación en metodologías, estrategia corporativa, consultoría interna estratégica"
Finanzas,Financial Analysis Director,12-18,"Dirección analítica financiera, estrategia global, transformación de capacidades, alineación con dirección ejecutiva"
Finanzas,VP of Financial Analysis,15+,"Liderazgo ejecutivo analítico, visión estratégica global, desarrollo organizacional, estrategia financiera corporativa"

# Finanzas - Accountant
Finanzas,Accountant Trainee,0-1,"Fundamentos de contabilidad, asientos básicos, ciclo contable básico, software contable elemental, normativa básica"
Finanzas,Accountant Junior,0-2,"Registro contable, conciliaciones, cierre mensual básico, informes simples, declaraciones fiscales básicas"
Finanzas,Accountant Mid-level,2-4,"Cierre contable completo, preparación de estados financieros, análisis de cuentas, reporting avanzado, normativa avanzada"
Finanzas,Accountant Senior,4-7,"Contabilidad avanzada, optimización de procesos contables, due diligence, mentorización, relación con auditores"
Finanzas,Accountant Tech Lead,7-10,"Liderazgo de equipos contables, definición de políticas, implementación de normativas, proyectos de transformación"
Finanzas,Accountant Architect,8-12,"Diseño de sistemas contables, estrategias corporativas, frameworks de cumplimiento, metodologías avanzadas de control"
Finanzas,Principal Accountant,10-15,"Liderazgo de prácticas contables, innovación en procesos, estrategia corporativa, consultoría interna, regulaciones"
Finanzas,Accounting Director,12-18,"Dirección contable global, estrategia financiera, transformación de procesos, alineación con dirección ejecutiva"
Finanzas,VP of Accounting,15+,"Liderazgo ejecutivo contable, visión estratégica global, desarrollo organizacional, estrategia corporativa, gobernanza"

# Finanzas - Controller
Finanzas,Controller Trainee,0-1,"Fundamentos de control de gestión, procesos básicos de control, reporting elemental, seguimiento de presupuestos básico"
Finanzas,Controller Junior,0-2,"Control presupuestario básico, análisis de desviaciones simple, reporting periódico, KPIs básicos, procesos financieros"
Finanzas,Controller Mid-level,2-4,"Control de gestión intermedio, análisis de rentabilidad, presupuestos complejos, reporting avanzado, procesos de control"
Finanzas,Controller Senior,4-7,"Control de gestión avanzado, optimización financiera, business partnering, mentorización, mejora de procesos financieros"
Finanzas,Controller Tech Lead,7-10,"Liderazgo de equipos de control, definición de políticas, estrategias de control financiero, gestión de riesgos"
Finanzas,Controller Architect,8-12,"Diseño de arquitecturas de control, estrategias corporativas, frameworks de control interno, planificación estratégica"
Finanzas,Principal Controller,10-15,"Liderazgo de prácticas de controlling, innovación en metodologías, estrategia corporativa, business intelligence"
Finanzas,Controlling Director,12-18,"Dirección de control financiero global, estrategia corporativa, transformación financiera, gestión de rendimiento"
Finanzas,VP of Controlling,15+,"Liderazgo ejecutivo de control financiero, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Finanzas - Finance Manager
Finanzas,Finance Manager Trainee,0-1,"Fundamentos de gestión financiera, procesos básicos, reporting elemental, herramientas financieras básicas"
Finanzas,Finance Manager Junior,0-2,"Gestión financiera básica, reporting simple, coordinación de equipos pequeños, presupuestos básicos, mejoras simples"
Finanzas,Finance Manager Mid-level,2-4,"Gestión financiera intermedia, análisis de procesos, implementación de mejoras, relación con departamentos"
Finanzas,Finance Manager Senior,4-7,"Gestión financiera avanzada, optimización de recursos, planificación estratégica, mentorización, estrategias financieras"
Finanzas,Finance Manager Tech Lead,7-10,"Liderazgo de equipos financieros, definición de estrategias, optimización global, gestión presupuestaria avanzada"
Finanzas,Finance Manager Architect,8-12,"Diseño de estructuras financieras, estrategias corporativas, frameworks de gestión, planificación estratégica global"
Finanzas,Principal Finance Manager,10-15,"Liderazgo de prácticas financieras, innovación en gestión, estrategia corporativa, consultoría interna, mentorización"
Finanzas,Finance Director,12-18,"Dirección financiera global, estrategia corporativa, transformación de departamentos, alineación con negocio"
Finanzas,Chief Financial Officer,15+,"Liderazgo ejecutivo financiero, visión estratégica global, desarrollo organizacional, estrategia corporativa"

# Finanzas - Investment Analyst
Finanzas,Investment Analyst Trainee,0-1,"Fundamentos de análisis de inversiones, herramientas básicas, mercados financieros elementales, productos básicos"
Finanzas,Investment Analyst Junior,0-2,"Análisis de inversiones básico, valoración simple, due diligence básica, investigación de mercados, reportes simples"
Finanzas,Investment Analyst Mid-level,2-4,"Valoración de activos diversos, análisis financiero intermedio, modelos DCF, estrategias de inversión, reporting avanzado"
